utterance,paraphrase,list_of_slots,intent
How's the weather in  Munchique National Natural Park,How's the weather at Munchique National Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How's the weather at Munchique National Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How's the weather at Munchique National Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How are the weather conditions at Munchique National Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How's the weather in Munchique National Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How is the weather in Munchique National Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How is the weather in Munchique National Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,What's the weather in Munchique National Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,What is the weather like in Munchique National Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,"What are the weather conditions in Munchique National Park, Canada?",['Munchique National Natural Park || geographic_poi'],GetWeather
"Tell me the weather forecast for  Roseburg ,  Iowa","If this is the weather for Roseburg, Iowa, what are the forecasts?","['Roseburg || city', 'Iowa || state']",GetWeather
"Tell me the weather forecast for  Roseburg ,  Iowa","What's the forecast for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",GetWeather
"Tell me the weather forecast for  Roseburg ,  Iowa","How is the weather in Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",GetWeather
"Tell me the weather forecast for  Roseburg ,  Iowa",What's the weather forecast for Roseburg in Iowa?,"['Roseburg || city', 'Iowa || state']",GetWeather
"Tell me the weather forecast for  Roseburg ,  Iowa",What is the weather at Roseburg in Iowa.,"['Roseburg || city', 'Iowa || state']",GetWeather
"Tell me the weather forecast for  Roseburg ,  Iowa","What is the weather in Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",GetWeather
"Tell me the weather forecast for  Roseburg ,  Iowa","What is the weather forecast for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",GetWeather
"Tell me the weather forecast for  Roseburg ,  Iowa","How do I get the weather forecast for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",GetWeather
