utterance,list_of_slots
Book a reservation for  seven  people at a  bakery  in  Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']"
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']"
I need a table for  breakfast  in  MI  at the  pizzeria,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']"
Book a restaurant reservation for  me and my child  for  2 Pm  in  Faysville,"['me and my child || party_size_description', '2 Pm || timeRange', 'Faysville || city']"
I want to book a  highly rated   churrascaria   ten months from now .,"['highly rated || sort', 'churrascaria || restaurant_type', 'ten months from now || timeRange']"
i need a table for  7  in  Kashegelok   VT,"['7 || party_size_number', 'Kashegelok || city', 'VT || state']"
book spot for  eight  at a  bar  that serves  pastelaria,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']"
I need a table for  clare and yvonne ramirez  at  Baker's Keyboard Lounge,"['clare and yvonne ramirez || party_size_description', ""Baker's Keyboard Lounge || restaurant_name""]"
"I want to book  Cheese Board Collective  in  Poland  for  april the first, 2030 .","['Cheese Board Collective || restaurant_name', 'Poland || country', 'april the first, 2030 || timeRange']"
Book a reservation for a  pub  serving  burritos,"['pub || restaurant_type', 'burritos || served_dish']"
Book a reservation for  eight  people in  North Dakota,"['eight || party_size_number', 'North Dakota || state']"
Book me a reservation for  eight  for the  top-rated   bakery   eleven hours from now  in  Mango,"['eight || party_size_number', 'top-rated || sort', 'bakery || restaurant_type', 'eleven hours from now || timeRange', 'Mango || city']"
Book a reservation for a  restaurant  in  Palau   in six years  ,"['restaurant || restaurant_type', 'Palau || state', 'in six years || timeRange']"
Need a table for a party of  six  at the  RingSide Steakhouse  in the state of  Nevada,"['six || party_size_number', 'RingSide Steakhouse || restaurant_name', 'Nevada || state']"
Book spot for  7  at  NH   Theressa,"['7 || party_size_number', 'NH || state', 'Theressa || city']"
book a  restaurant  in  Georgia,"['restaurant || restaurant_type', 'Georgia || country']"
I need a table in  Elba  for  ten  that has a  bar,"['Elba || city', 'ten || party_size_number', 'bar || restaurant_type']"
need a table at a  close-by   restaurant  right  now  in  Marco,"['close-by || spatial_relation', 'restaurant || restaurant_type', 'now || timeRange', 'Marco || city']"
"I want to book a  restaurant  in a  distant   ID   spa  for  lidia, latasha and diann .","['restaurant || restaurant_type', 'distant || spatial_relation', 'ID || state', 'spa || facility', 'lidia, latasha and diann || party_size_description']"
book a table in  FL  for  ten  people,"['FL || state', 'ten || party_size_number']"
I want to book a  restaurant  in  Ayer  for  2  people.,"['restaurant || restaurant_type', 'Ayer || city', '2 || party_size_number']"
book spot at a  highly rated   restaurant  in  Tajikistan,"['highly rated || sort', 'restaurant || restaurant_type', 'Tajikistan || country']"
Book a spot for  now  in  NY  for  10,"['now || timeRange', 'NY || state', '10 || party_size_number']"
"Book a reservation for  The Training Table  on  Mar. thirteenth, 2026","['The Training Table || restaurant_name', 'Mar. thirteenth, 2026 || timeRange']"
"book a table for  me, heidi and cara  in  Saudi Arabia","['me, heidi and cara || party_size_description', 'Saudi Arabia || country']"
Book a reservation for  eight  at a  cafeteria   saturday,"['eight || party_size_number', 'cafeteria || restaurant_type', 'saturday || timeRange']"
Book reservation in  Gasconade  at the  best   restaurant  in  DC,"['Gasconade || city', 'best || sort', 'restaurant || restaurant_type', 'DC || state']"
Book spot at  Fried chicken restaurant  in  Mauritania,"['Fried chicken restaurant || restaurant_name', 'Mauritania || country']"
I need a table at  spa   joint,"['spa || facility', 'joint || restaurant_type']"
book a  restaurant  in  NE  for  ascension day  in  Cle Elum  that serves  seafood  for  me and my nieces,"['restaurant || restaurant_type', 'NE || state', 'ascension day || timeRange', 'Cle Elum || city', 'seafood || served_dish', 'me and my nieces || party_size_description']"
book spot for  4  in  Somalia,"['4 || party_size_number', 'Somalia || country']"
"book spot for  John Pearson Soda Works  in  Cambodia  on  Mar. 21st, 2023","['John Pearson Soda Works || restaurant_name', 'Cambodia || country', 'Mar. 21st, 2023 || timeRange']"
I want to make a reservation for  one  at a  sushi   restaurant  in  Brucetown,"['one || party_size_number', 'sushi || served_dish', 'restaurant || restaurant_type', 'Brucetown || city']"
I want to book  The Hat  for  my grandfather and I  in  Arkansas .,"['The Hat || restaurant_name', 'my grandfather and I || party_size_description', 'Arkansas || state']"
party of  six   this week  in  Oman,"['six || party_size_number', 'this week || timeRange', 'Oman || country']"
I need a table in  Anderson   Arkansas,"['Anderson || city', 'Arkansas || state']"
Book spot for  eight  at  bar  that serves  potée,"['eight || party_size_number', 'bar || restaurant_type', 'potée || served_dish']"
need to book a table in  Ludden,['Ludden || city']
"book a table at  The Crab Cooker  for  now  for  angelina, melva cooper and gwen","['The Crab Cooker || restaurant_name', 'now || timeRange', 'angelina, melva cooper and gwen || party_size_description']"
book a table for  10  in  CHAR No.4  in  Colombia,"['10 || party_size_number', 'CHAR No.4 || restaurant_name', 'Colombia || country']"
book spot for  melisa castillo and vicky allen  in  Sadorus   MT,"['melisa castillo and vicky allen || party_size_description', 'Sadorus || city', 'MT || state']"
Book a reservation for  8  people at an  irish   bar,"['8 || party_size_number', 'irish || cuisine', 'bar || restaurant_type']"
Book me a reservation for a party of  3  at a  restaurant  in  KY,"['3 || party_size_number', 'restaurant || restaurant_type', 'KY || state']"
book spot in  North Catasauqua   SD   in sixteen minutes,"['North Catasauqua || city', 'SD || state', 'in sixteen minutes || timeRange']"
I want to book a  highly rated   fast food restaurant  for  eight  people.,"['highly rated || sort', 'fast food restaurant || restaurant_type', 'eight || party_size_number']"
I need to find a table for  4  at a  brasserie  that has  fondue,"['4 || party_size_number', 'brasserie || restaurant_type', 'fondue || served_dish']"
"Book a reservation for  eight  people at a  top-rated   restaurant  in  Busby ,  GU  on  may second, 2024","['eight || party_size_number', 'top-rated || sort', 'restaurant || restaurant_type', 'Busby || city', 'GU || state', 'may second, 2024 || timeRange']"
I want to book  Moishes Steakhouse  in  Lucky .,"['Moishes Steakhouse || restaurant_name', 'Lucky || city']"
book  restaurant  at  ten  that has  internet,"['restaurant || restaurant_type', 'ten || party_size_number', 'internet || facility']"
Book a reservation for  seven  people at a  highly rated   restaurant   this month  in  Hawaii,"['seven || party_size_number', 'highly rated || sort', 'restaurant || restaurant_type', 'this month || timeRange', 'Hawaii || state']"
"I want to book a  restaurant  for  me, carissa and lynn ramirez  in  Colorado .","['restaurant || restaurant_type', 'me, carissa and lynn ramirez || party_size_description', 'Colorado || state']"
