utterance,paraphrase,list_of_slots,intent
Book me a  restaurant  reservation at  3,Buy me a restaurant reservation at 3.,"['restaurant || restaurant_type', '3 || timeRange']",BookRestaurant
Book me a  restaurant  reservation at  3,Buy me a restaurant reservation at 3,"['restaurant || restaurant_type', '3 || timeRange']",BookRestaurant
Book me a  restaurant  reservation at  3,Book me a restaurant reservation at 3.,"['restaurant || restaurant_type', '3 || timeRange']",BookRestaurant
Book me a  restaurant  reservation at  3,Book me a restaurant reservation at 3,"['restaurant || restaurant_type', '3 || timeRange']",BookRestaurant
Book me a  restaurant  reservation at  3,Keep me booking a restaurant at 3,"['restaurant || restaurant_type', '3 || timeRange']",BookRestaurant
Book a reservation for a  restaurant   now,Keep a reservation for a restaurant now,"['restaurant || restaurant_type', 'now || timeRange']",BookRestaurant
Book a reservation for a  restaurant   now,Book off a reservation for a restaurant now,"['restaurant || restaurant_type', 'now || timeRange']",BookRestaurant
Book a reservation for a  restaurant   now,Booking a reservation for restaurant now,"['restaurant || restaurant_type', 'now || timeRange']",BookRestaurant
Book a reservation for a  restaurant   now,Booking a reservation for the restaurant now,"['restaurant || restaurant_type', 'now || timeRange']",BookRestaurant
Book a reservation for a  restaurant   now,Booking a reservation for a restaurant now,"['restaurant || restaurant_type', 'now || timeRange']",BookRestaurant
table for  7  at  Blueberry Hill,Table for seven at Blueberry Hills,"['7 || party_size_number', 'Blueberry Hill || restaurant_name']",BookRestaurant
table for  7  at  Blueberry Hill,Table for seven at Blueberry Hill.,"['7 || party_size_number', 'Blueberry Hill || restaurant_name']",BookRestaurant
table for  7  at  Blueberry Hill,Table for 7 in Blueberry Hill,"['7 || party_size_number', 'Blueberry Hill || restaurant_name']",BookRestaurant
table for  7  at  Blueberry Hill,Table for 7 on Blueberry Hill,"['7 || party_size_number', 'Blueberry Hill || restaurant_name']",BookRestaurant
table for  7  at  Blueberry Hill,Table for seven at Blueberry Hill,"['7 || party_size_number', 'Blueberry Hill || restaurant_name']",BookRestaurant
book a  restaurant  for  seven  in  Sudan,booking restaurant for seven in Sudan,"['restaurant || restaurant_type', 'seven || party_size_number', 'Sudan || country']",BookRestaurant
book a  restaurant  for  seven  in  Sudan,booking a restaurant to seven in Sudan,"['restaurant || restaurant_type', 'seven || party_size_number', 'Sudan || country']",BookRestaurant
book a  restaurant  for  seven  in  Sudan,booking the restaurant for seven in Sudan,"['restaurant || restaurant_type', 'seven || party_size_number', 'Sudan || country']",BookRestaurant
book a  restaurant  for  seven  in  Sudan,booking a diner for seven in Sudan,"['restaurant || restaurant_type', 'seven || party_size_number', 'Sudan || country']",BookRestaurant
book a  restaurant  for  seven  in  Sudan,booking a restaurant for seven in Sudan,"['restaurant || restaurant_type', 'seven || party_size_number', 'Sudan || country']",BookRestaurant
Book a place  now  for  2,book a place now for 2,"['now || timeRange', '2 || party_size_number']",BookRestaurant
Book a place  now  for  2,Book a place now for 2,"['now || timeRange', '2 || party_size_number']",BookRestaurant
Book a place  now  for  2,Buy a place now for 2,"['now || timeRange', '2 || party_size_number']",BookRestaurant
Book a place  now  for  2,Keep a spot now for 2,"['now || timeRange', '2 || party_size_number']",BookRestaurant
Book a place  now  for  2,Keep a place now for 2,"['now || timeRange', '2 || party_size_number']",BookRestaurant
book spot for  4  in  Somalia,Book spot for 4 Somali,"['4 || party_size_number', 'Somalia || country']",BookRestaurant
book spot for  4  in  Somalia,Book spot for the 4 in Somalia,"['4 || party_size_number', 'Somalia || country']",BookRestaurant
book spot for  4  in  Somalia,Book spot for 4 Somalis,"['4 || party_size_number', 'Somalia || country']",BookRestaurant
book spot for  4  in  Somalia,Book spot for 4 Somalia,"['4 || party_size_number', 'Somalia || country']",BookRestaurant
book spot for  4  in  Somalia,Book spot for 4 in Somalia,"['4 || party_size_number', 'Somalia || country']",BookRestaurant
table for  1  please,"Table for, please",['1 || party_size_number'],BookRestaurant
table for  1  please,Table for a please,['1 || party_size_number'],BookRestaurant
table for  1  please,Table for 1 please.,['1 || party_size_number'],BookRestaurant
table for  1  please,Table for 1 please,['1 || party_size_number'],BookRestaurant
table for  1  please,Table for please 1,['1 || party_size_number'],BookRestaurant
book a  restaurant  in  Georgia,booking a restaurant in,"['restaurant || restaurant_type', 'Georgia || country']",BookRestaurant
book a  restaurant  in  Georgia,a restaurant in Georgia,"['restaurant || restaurant_type', 'Georgia || country']",BookRestaurant
book a  restaurant  in  Georgia,booked a restaurant in Georgia,"['restaurant || restaurant_type', 'Georgia || country']",BookRestaurant
book a  restaurant  in  Georgia,books a restaurant in Georgia,"['restaurant || restaurant_type', 'Georgia || country']",BookRestaurant
book a  restaurant  in  Georgia,booking a restaurant in Georgia,"['restaurant || restaurant_type', 'Georgia || country']",BookRestaurant
book spot at a  balinese   joint,Book spot at Balinese joint,"['balinese || cuisine', 'joint || restaurant_type']",BookRestaurant
book spot at a  balinese   joint,The book spot in a Balinese joint,"['balinese || cuisine', 'joint || restaurant_type']",BookRestaurant
book spot at a  balinese   joint,a book spot in a Balinese joint,"['balinese || cuisine', 'joint || restaurant_type']",BookRestaurant
book spot at a  balinese   joint,book spot in a Balinese joint,"['balinese || cuisine', 'joint || restaurant_type']",BookRestaurant
book spot at a  balinese   joint,Book spot in a Balinese joint,"['balinese || cuisine', 'joint || restaurant_type']",BookRestaurant
book a table in  Grove Place  for  two,book a table in Grove Place for two,"['Grove Place || city', 'two || party_size_number']",BookRestaurant
book a table in  Grove Place  for  two,Book a table in Grove Place for two.,"['Grove Place || city', 'two || party_size_number']",BookRestaurant
book a table in  Grove Place  for  two,Book a table in Grove Place for two,"['Grove Place || city', 'two || party_size_number']",BookRestaurant
book a table in  Grove Place  for  two,Book a table at Grove Place for two.,"['Grove Place || city', 'two || party_size_number']",BookRestaurant
book a table in  Grove Place  for  two,Book a table at Grove Place for two,"['Grove Place || city', 'two || party_size_number']",BookRestaurant
party of  six   this week  in  Oman,party six this week in Oman.,"['six || party_size_number', 'this week || timeRange', 'Oman || country']",BookRestaurant
party of  six   this week  in  Oman,the party of six this week in Oman,"['six || party_size_number', 'this week || timeRange', 'Oman || country']",BookRestaurant
party of  six   this week  in  Oman,a party of six this week in Oman,"['six || party_size_number', 'this week || timeRange', 'Oman || country']",BookRestaurant
party of  six   this week  in  Oman,party of six this week in Oman,"['six || party_size_number', 'this week || timeRange', 'Oman || country']",BookRestaurant
party of  six   this week  in  Oman,party six this week in Oman,"['six || party_size_number', 'this week || timeRange', 'Oman || country']",BookRestaurant
I need a table at  spa   joint,I need a board at the spa joint,"['spa || facility', 'joint || restaurant_type']",BookRestaurant
I need a table at  spa   joint,I need a table at a spa joint,"['spa || facility', 'joint || restaurant_type']",BookRestaurant
I need a table at  spa   joint,I need a table at the spa joint.,"['spa || facility', 'joint || restaurant_type']",BookRestaurant
I need a table at  spa   joint,I need a table at the spa joint,"['spa || facility', 'joint || restaurant_type']",BookRestaurant
I need a table at  spa   joint,I need the table at the spa joint,"['spa || facility', 'joint || restaurant_type']",BookRestaurant
book  restaurant  at  ten  that has  internet,Ten bookstore with internet,"['restaurant || restaurant_type', 'ten || party_size_number', 'internet || facility']",BookRestaurant
book  restaurant  at  ten  that has  internet,Book restaurant with ten which has internet,"['restaurant || restaurant_type', 'ten || party_size_number', 'internet || facility']",BookRestaurant
book  restaurant  at  ten  that has  internet,Bookstore at ten that have internet,"['restaurant || restaurant_type', 'ten || party_size_number', 'internet || facility']",BookRestaurant
book  restaurant  at  ten  that has  internet,Ten bookstore that have Internet,"['restaurant || restaurant_type', 'ten || party_size_number', 'internet || facility']",BookRestaurant
book  restaurant  at  ten  that has  internet,Ten bookstore that have internet,"['restaurant || restaurant_type', 'ten || party_size_number', 'internet || facility']",BookRestaurant
I want to book a  bakery  in  Alamosa  for  three  people.,I want the booking of a bakery at Alamosa for three people.,"['bakery || restaurant_type', 'Alamosa || city', 'three || party_size_number']",BookRestaurant
I want to book a  bakery  in  Alamosa  for  three  people.,"I want the booking of a bakery, in Alamosa, for three.","['bakery || restaurant_type', 'Alamosa || city', 'three || party_size_number']",BookRestaurant
I want to book a  bakery  in  Alamosa  for  three  people.,"I want the booking of a bakery, in Alamosa, for 3 people.","['bakery || restaurant_type', 'Alamosa || city', 'three || party_size_number']",BookRestaurant
I want to book a  bakery  in  Alamosa  for  three  people.,I want the booking of a bakery at Alamosa for 3 people.,"['bakery || restaurant_type', 'Alamosa || city', 'three || party_size_number']",BookRestaurant
I want to book a  bakery  in  Alamosa  for  three  people.,"I want the booking of a bakery, in Alamosa, for three people.","['bakery || restaurant_type', 'Alamosa || city', 'three || party_size_number']",BookRestaurant
I want to book  Moishes Steakhouse  in  Lucky .,I wanted to book the Moishes Steakhouse in the Lucky.,"['Moishes Steakhouse || restaurant_name', 'Lucky || city']",BookRestaurant
I want to book  Moishes Steakhouse  in  Lucky .,I wanted to book the Moishes Steakhouse at Lucky.,"['Moishes Steakhouse || restaurant_name', 'Lucky || city']",BookRestaurant
I want to book  Moishes Steakhouse  in  Lucky .,I wanted to book the Moishes Steakhouse at Lucky .,"['Moishes Steakhouse || restaurant_name', 'Lucky || city']",BookRestaurant
