utterance,paraphrase,list_of_slots,intent
Book a  restaurant  reservation for  nine  in  VA  on  August 21,Find a restaura...aurant reservation for nine individuals on the date of August twenty-first within the state of Virginia.,"['restaurant || restaurant_type', 'nine || party_size_number', 'VA || state', 'August 21 || timeRange']",BookRestaurant
Book a  restaurant  reservation for  nine  in  VA  on  August 21,Reserve a table for nine people at a restaurant in Virginia on August 21.,"['restaurant || restaurant_type', 'nine || party_size_number', 'VA || state', 'August 21 || timeRange']",BookRestaurant
Book a  restaurant  reservation for  nine  in  VA  on  August 21,Book a dinner reservation for nine guests in VA on the 21st of August.,"['restaurant || restaurant_type', 'nine || party_size_number', 'VA || state', 'August 21 || timeRange']",BookRestaurant
Book a  restaurant  reservation for  nine  in  VA  on  August 21,"Arrange for a restaurant booking in Virginia on August 21, accommodating nine individuals.","['restaurant || restaurant_type', 'nine || party_size_number', 'VA || state', 'August 21 || timeRange']",BookRestaurant
Book a  restaurant  reservation for  nine  in  VA  on  August 21,"Secure a reservation at an eatery in VA for the date of August 21, serving nine people.","['restaurant || restaurant_type', 'nine || party_size_number', 'VA || state', 'August 21 || timeRange']",BookRestaurant
Book a  restaurant  reservation for  nine  in  VA  on  August 21,Secure an eatery booking for nine persons in VA on the twenty-first of August.,"['restaurant || restaurant_type', 'nine || party_size_number', 'VA || state', 'August 21 || timeRange']",BookRestaurant
Book a  restaurant  reservation for  nine  in  VA  on  August 21,Book a restaurant table for nine people in Virginia on August 21st.,"['restaurant || restaurant_type', 'nine || party_size_number', 'VA || state', 'August 21 || timeRange']",BookRestaurant
Book a  restaurant  reservation for  nine  in  VA  on  August 21,Reserve seats at an establishment in VA to dine with eight companions on the date of August twenty-first.,"['restaurant || restaurant_type', 'nine || party_size_number', 'VA || state', 'August 21 || timeRange']",BookRestaurant
Book a  restaurant  reservation for  nine  in  VA  on  August 21,Reserve a table at a restaurant in Virginia for 9 people on August 21st.,"['restaurant || restaurant_type', 'nine || party_size_number', 'VA || state', 'August 21 || timeRange']",BookRestaurant
Book a  restaurant  reservation for  nine  in  VA  on  August 21,Make a reservation at a Virginia restaurant for nine diners on August 21.,"['restaurant || restaurant_type', 'nine || party_size_number', 'VA || state', 'August 21 || timeRange']",BookRestaurant
I want to book a  latin   restaurant  for  five  people.,I would like to make a reservation for a Latin restaurant with seating for five people.,"['latin || cuisine', 'restaurant || restaurant_type', 'five || party_size_number']",BookRestaurant
I want to book a  latin   restaurant  for  five  people.,I am interested in reserving a table at a Latin restaurant for five individuals.,"['latin || cuisine', 'restaurant || restaurant_type', 'five || party_size_number']",BookRestaurant
I want to book a  latin   restaurant  for  five  people.,"Booking a table at a Latin restaurant is what I desire, accommodating five guests.","['latin || cuisine', 'restaurant || restaurant_type', 'five || party_size_number']",BookRestaurant
I want to book a  latin   restaurant  for  five  people.,My intention is to reserve seating at a Latin restaurant where we can dine as a group of five people.,"['latin || cuisine', 'restaurant || restaurant_type', 'five || party_size_number']",BookRestaurant
I want to book a  latin   restaurant  for  five  people.,"For an outing with around five attendees, my preference is to book reservations at a latin eatery.","['latin || cuisine', 'restaurant || restaurant_type', 'five || party_size_number']",BookRestaurant
I want to book a  latin   restaurant  for  five  people.,I am looking to make arrangements for dinner for myself and four others at an authentic latin establishment.,"['latin || cuisine', 'restaurant || restaurant_type', 'five || party_size_number']",BookRestaurant
I want to book a  latin   restaurant  for  five  people.,"To cater the needs of our group of 5, I'm seeking assistance in booking reservations at any available latin style eatery.","['latin || cuisine', 'restaurant || restaurant_type', 'five || party_size_number']",BookRestaurant
I want to book a  latin   restaurant  for  five  people.,It's my wish to secure bookings for 5 individuals willing to experience dining in an authentic latin setting.,"['latin || cuisine', 'restaurant || restaurant_type', 'five || party_size_number']",BookRestaurant
I want to book a  latin   restaurant  for  five  people.,"Reservations are what I need in order to secure seats, catering towards the requirements of exactly 5 persons all together.","['latin || cuisine', 'restaurant || restaurant_type', 'five || party_size_number']",BookRestaurant
I want to book a  latin   restaurant  for  five  people.,In search of dining options within the domain of South-American cuisine and fitting accommodations that can host up-to 5 visitors.,"['latin || cuisine', 'restaurant || restaurant_type', 'five || party_size_number']",BookRestaurant
I want to book an  osteria  in  Morningside   AL .,I would like to reserve a table at an osteria called Morningside in AL.,"['osteria || restaurant_type', 'Morningside || city', 'AL || state']",BookRestaurant
I want to book an  osteria  in  Morningside   AL .,I am interested in making a reservation at the Morningside osteria in AL.,"['osteria || restaurant_type', 'Morningside || city', 'AL || state']",BookRestaurant
I want to book an  osteria  in  Morningside   AL .,Booking a table at the osteria named Morningside in AL is what I desire.,"['osteria || restaurant_type', 'Morningside || city', 'AL || state']",BookRestaurant
I want to book an  osteria  in  Morningside   AL .,"In Morningside, AL, I want to make a booking for an osteria.","['osteria || restaurant_type', 'Morningside || city', 'AL || state']",BookRestaurant
I want to book an  osteria  in  Morningside   AL .,"My intention is to reserve an osteria in Morningside, Alabama.","['osteria || restaurant_type', 'Morningside || city', 'AL || state']",BookRestaurant
I want to book an  osteria  in  Morningside   AL .,"I have plans of booking an osteria located in Morningside, Alabama.","['osteria || restaurant_type', 'Morningside || city', 'AL || state']",BookRestaurant
I want to book an  osteria  in  Morningside   AL .,"To book an osteria situated in the city of Morningside, Alabama is my wish.","['osteria || restaurant_type', 'Morningside || city', 'AL || state']",BookRestaurant
I want to book an  osteria  in  Morningside   AL .,My request is to reserve an Osterian cuisine restaurant called 'Morninside' located within Alabama,"['osteria || restaurant_type', 'Morningside || city', 'AL || state']",BookRestaurant
I want to book an  osteria  in  Morningside   AL .,"I'm looking forward to reserving a spot for dining at the Oesterian cuisine restaurant 'Morninside', which can be found within Alabama","['osteria || restaurant_type', 'Morningside || city', 'AL || state']",BookRestaurant
I want to book an  osteria  in  Morningside   AL .,To secure my place for dinner at the Oesterian cuisine restaurant titled 'Morninside' situated inside lovely location that goes by name of Alabma,"['osteria || restaurant_type', 'Morningside || city', 'AL || state']",BookRestaurant
"Book me a reservation for a  top-rated   pub  in  Ladue ,  Colorado","Please make a reservation for a highly recommended bar in Ladue, Colorado.","['top-rated || sort', 'pub || restaurant_type', 'Ladue || city', 'Colorado || state']",BookRestaurant
"Book me a reservation for a  top-rated   pub  in  Ladue ,  Colorado","Can you reserve a table for me at one of the best pubs in Ladue, Colorado?","['top-rated || sort', 'pub || restaurant_type', 'Ladue || city', 'Colorado || state']",BookRestaurant
"Book me a reservation for a  top-rated   pub  in  Ladue ,  Colorado","I would like to book a reservation at a top-notch pub located in Ladue, Colorado.","['top-rated || sort', 'pub || restaurant_type', 'Ladue || city', 'Colorado || state']",BookRestaurant
"Book me a reservation for a  top-rated   pub  in  Ladue ,  Colorado","Kindly arrange for me to have reservations at an excellent pub in Ladue, Colorado.","['top-rated || sort', 'pub || restaurant_type', 'Ladue || city', 'Colorado || state']",BookRestaurant
