utterance,paraphrase,list_of_slots,intent
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation at a bakery in Osage City for seven people.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people in a bakery in Osage City.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people in a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people in a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at the Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at the Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast at the pizzeria in MI.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
