utterance,paraphrase,list_of_slots,intent
What is the weather forecast  here,What the weather forecast is here,['here || current_location'],GetWeather
What is the weather forecast  here,What is the weather forecast here,['here || current_location'],GetWeather
What is the weather forecast  here,What is the weather forecast here?,['here || current_location'],GetWeather
What is the weather forecast  here,What’s the weather forecast here,['here || current_location'],GetWeather
What is the weather forecast  here,What's the weather forecast here,['here || current_location'],GetWeather
Is it  chilly  in  Haiti,Is it cool in Haiti?,"['chilly || condition_temperature', 'Haiti || country']",GetWeather
Is it  chilly  in  Haiti,Is it cold in Haiti.,"['chilly || condition_temperature', 'Haiti || country']",GetWeather
Is it  chilly  in  Haiti,Is it cold in Haiti ?,"['chilly || condition_temperature', 'Haiti || country']",GetWeather
Is it  chilly  in  Haiti,Is it cold in Haiti,"['chilly || condition_temperature', 'Haiti || country']",GetWeather
Is it  chilly  in  Haiti,Is it cold in Haiti?,"['chilly || condition_temperature', 'Haiti || country']",GetWeather
what is the forecast for  Tennessee,What is the forecast for Tennessee,['Tennessee || state'],GetWeather
what is the forecast for  Tennessee,what is the forecast for Tennessee,['Tennessee || state'],GetWeather
what is the forecast for  Tennessee,what the forecast is for Tennessee,['Tennessee || state'],GetWeather
what is the forecast for  Tennessee,Which is the forecast for Tennessee,['Tennessee || state'],GetWeather
what is the forecast for  Tennessee,what is the prediction for Tennessee,['Tennessee || state'],GetWeather
Is it  chillier   here,Is it cooler here,"['chillier || condition_temperature', 'here || current_location']",GetWeather
Is it  chillier   here,Is it cooler here?,"['chillier || condition_temperature', 'here || current_location']",GetWeather
Is it  chillier   here,Is it cooler here ?,"['chillier || condition_temperature', 'here || current_location']",GetWeather
Is it  chillier   here,Is it Colder Here?,"['chillier || condition_temperature', 'here || current_location']",GetWeather
Is it  chillier   here,Is it colder here?,"['chillier || condition_temperature', 'here || current_location']",GetWeather
Weather at  Norfolk Island,Weather from Norfolk Island,['Norfolk Island || country'],GetWeather
Weather at  Norfolk Island,Weather of Norfolk Island,['Norfolk Island || country'],GetWeather
Weather at  Norfolk Island,Weather on Norfolk Island,['Norfolk Island || country'],GetWeather
Weather at  Norfolk Island,Weather On Norfolk Island,['Norfolk Island || country'],GetWeather
Weather at  Norfolk Island,Weather in Norfolk Island,['Norfolk Island || country'],GetWeather
Weather in  Malaysia,Weather in Indonesia,['Malaysia || country'],GetWeather
Weather in  Malaysia,Weather in Malawi,['Malaysia || country'],GetWeather
Weather in  Malaysia,Weather for Malaysia,['Malaysia || country'],GetWeather
Weather in  Malaysia,Weather in Malesia,['Malaysia || country'],GetWeather
Weather in  Malaysia,Weather in Malaysia,['Malaysia || country'],GetWeather
forecast for  Guatemala,forecast for Guatemala,['Guatemala || country'],GetWeather
forecast for  Guatemala,Forecast for Guatemala,['Guatemala || country'],GetWeather
forecast for  Guatemala,Prospect for Guatemala,['Guatemala || country'],GetWeather
forecast for  Guatemala,Projection for Guatemala,['Guatemala || country'],GetWeather
forecast for  Guatemala,Outlook for Guatemala,['Guatemala || country'],GetWeather
forecast for  Conrad,for Conrad,['Conrad || city'],GetWeather
forecast for  Conrad,forecast for Conrad,['Conrad || city'],GetWeather
forecast for  Conrad,Forecast for Conrad,['Conrad || city'],GetWeather
forecast for  Conrad,Projection for Conrad,['Conrad || city'],GetWeather
forecast for  Conrad,Forecast for Konrad,['Conrad || city'],GetWeather
Tell me the weather forecast for  Finland,Tell me weather forecast for Finland.,['Finland || country'],GetWeather
Tell me the weather forecast for  Finland,Tell me weather forecasts for Finland,['Finland || country'],GetWeather
Tell me the weather forecast for  Finland,Tell me weather forecast for Finland,['Finland || country'],GetWeather
Tell me the weather forecast for  Finland,Tell me the weather forecast for Finland,['Finland || country'],GetWeather
Tell me the weather forecast for  Finland,Tell me a weather forecast for Finland,['Finland || country'],GetWeather
Will it  snow  in  Granbury ?,Is it going to snow at Granbury?!,"['snow || condition_description', 'Granbury || city']",GetWeather
Will it  snow  in  Granbury ?,Is it going to snow at Granbury??,"['snow || condition_description', 'Granbury || city']",GetWeather
Will it  snow  in  Granbury ?,Is it going to snow at Granbury?,"['snow || condition_description', 'Granbury || city']",GetWeather
Will it  snow  in  Granbury ?,Will it be snowing in Granbury?,"['snow || condition_description', 'Granbury || city']",GetWeather
Will it  snow  in  Granbury ?,Is it going to snow in Granbury?,"['snow || condition_description', 'Granbury || city']",GetWeather
what is the forecast for  Gambier,what a prediction for Gambier is,['Gambier || city'],GetWeather
what is the forecast for  Gambier,what a prediction for Gambier,['Gambier || city'],GetWeather
what is the forecast for  Gambier,what's the forecast for Gambier,['Gambier || city'],GetWeather
what is the forecast for  Gambier,what the prediction is for Gambier,['Gambier || city'],GetWeather
what is the forecast for  Gambier,what is the prediction for Gambier,['Gambier || city'],GetWeather
What is the weather forecast  nearby   here,What's the weather forecast nearby here,"['nearby || spatial_relation', 'here || current_location']",GetWeather
What is the weather forecast  nearby   here,What is the weather forecast nearby here,"['nearby || spatial_relation', 'here || current_location']",GetWeather
What is the weather forecast  nearby   here,What is the weather forecast nearby here?,"['nearby || spatial_relation', 'here || current_location']",GetWeather
What is the weather forecast  nearby   here,What are the weather forecasts nearby here,"['nearby || spatial_relation', 'here || current_location']",GetWeather
What is the weather forecast  nearby   here,What is the weather forecast around here?,"['nearby || spatial_relation', 'here || current_location']",GetWeather
What is the weather like in  Newton,What weather is like in Newton?,['Newton || city'],GetWeather
What is the weather like in  Newton,What weather is like in Newton,['Newton || city'],GetWeather
What is the weather like in  Newton,What is the weather like in Newton,['Newton || city'],GetWeather
What is the weather like in  Newton,What is the weather like in Newton?,['Newton || city'],GetWeather
What is the weather like in  Newton,What the weather is like in Newton,['Newton || city'],GetWeather
"Is it  colder  in Istanbul, Turkey or  Amarillo ,  Greece ?","Is it cooler in Istanbul, Turkish or Amarillo, Greece??","['colder || condition_temperature', 'Amarillo || city', 'Greece || country']",GetWeather
"Is it  colder  in Istanbul, Turkey or  Amarillo ,  Greece ?","Is it cooler in Istanbul, Turkish or Amarillo, Greek?","['colder || condition_temperature', 'Amarillo || city', 'Greece || country']",GetWeather
"Is it  colder  in Istanbul, Turkey or  Amarillo ,  Greece ?","Is it cooler in İstanbul, Turkey or Amarillo, Greece?","['colder || condition_temperature', 'Amarillo || city', 'Greece || country']",GetWeather
"Is it  colder  in Istanbul, Turkey or  Amarillo ,  Greece ?","Is it more cold in Istanbul, Turkish or Amarillo, Greece?","['colder || condition_temperature', 'Amarillo || city', 'Greece || country']",GetWeather
"Is it  colder  in Istanbul, Turkey or  Amarillo ,  Greece ?","Is it cooler in Istanbul, Turkish or Amarillo, Greece?","['colder || condition_temperature', 'Amarillo || city', 'Greece || country']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,What will be the weather this afternoon in Brilliant Me?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,What will be the weather this afternoon in BrilliantMI?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,What will be the weather this afternoon in Bright MI?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
What will the weather be this  Afternoon  in  Brilliant   MI ?,What will be the weather this afternoon in Brilliant MI?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']",GetWeather
