utterance,paraphrase,list_of_slots,intent
How's the weather in  Munchique National Natural Park,How is the weather in Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How is the weather in Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How is the weather in Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How is the weather in Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How's the weather in Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How's the weather in Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How's the weather in Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How's the weather in Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,What is the weather in Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,What is the weather in Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France for the weekend.,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France for the weekend.,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France for the weekend.,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France for the weekend.,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France for the weekend?,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France for the weekend?,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France for this weekend.,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France for this weekend.,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France for this weekend.,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France for this weekend.,['France || country'],GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be a wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
