utterance,paraphrase,list_of_slots,intent
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a seven-person reservation at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people in a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a seven person reservation at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven in a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a seven-person reservation in a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Make a reservation for seven people at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven persons at a bakery in Osage City,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book Tip for Three at the Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book tip for three at the Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book tip for three people at the Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book tip for three at Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book tip for three in the Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book tip for three people at Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book tip for three people in the Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book Tip for Three at Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book tips for three at the Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book recommendation for three people at the Maid-Rite Sandwich Shop in Antigua and Barbuda,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a breakfast table in the MI in the pizzeria,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a breakfast table in the MI in the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a breakfast table in the MI in the Pizzeria,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a breakfast table at the MI in the pizzeria,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a breakfast table at the MI in the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a breakfast table at the MI in the Pizzeria,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a breakfast table in the MI at the pizzeria,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a breakfast table in the MI at the pizzeria.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a breakfast table in the MI pizzeria,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
