utterance,paraphrase,list_of_slots,intent
How's the weather in  Munchique National Natural Park,What is the weather like in Munchique National Natural Park,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,What is the weather like in Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,What is the weather like in the Munchique National Natural Park,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,What is the weather like in the Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How is the weather in the Munchique National Natural Park,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How is the weather in the Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How is the weather in Munchique National Natural Park,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,How is the weather in Munchique National Natural Park?,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,What's the weather like in Munchique National Natural Park,['Munchique National Natural Park || geographic_poi'],GetWeather
How's the weather in  Munchique National Natural Park,What's the weather like in the Munchique National Natural Park,['Munchique National Natural Park || geographic_poi'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast for France.,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell Me the Weather Forecast for France,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the Weather Forecast for France,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather forecast in France,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me about the weather forecast for France,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me your weather forecast for France,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me what the weather forecast is for France,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me what the weather forecast for France is,['France || country'],GetWeather
Tell me the weather forecast for  France,Tell me the weather in France,['France || country'],GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in their sails?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornito's DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornito's DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Horton's DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos D.C.?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be any wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Is there going to be wind in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be winds in Hornitos DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Will there be  wind  in  Hornitos   DC ?,Will there be wind in the DC?,"['wind || condition_description', 'Hornitos || city', 'DC || state']",GetWeather
Is it  warm   here   now ?,Is it warm here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm here right now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm here?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it warm now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
Is it  warm   here   now ?,Is it hot here now?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']",GetWeather
