utterance,paraphrase,list_of_slots,intent
what is the forecast for  Lesotho,What can we expect the weather to be like in Lesotho?,['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,What is the prediction for Lesotho's weather?,['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,Could you tell me about the projected weather conditions in Lesotho?,['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,Can you give me an update on the forecast for Lesotho?,['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,I'm curious about what's expected in terms of weather for Lesotho.,['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,Do you have any information on how the weather will be in Lesotho?,['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,Can you provide an overview of what to expect regarding the forecast in Lesotho?,['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,Tell me more about what is anticipated with regards to the forecast for Lesotho.,['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,"I'd like some details on what is expected regarding the forecast for Lestho, please.",['Lesotho || country'],GetWeather
what is the forecast for  Lesotho,"What are they saying about how it will be climate-wise over there with my people, fam?",['Lesotho || country'],GetWeather
What kind of weather will be in  TN   a week from now  ?,What will be the weather like in Tennessee a week from now?,"['TN || state', 'a week from now || timeRange']",GetWeather
What kind of weather will be in  TN   a week from now  ?,What can we expect the weather to be in TN one week from today?,"['TN || state', 'a week from now || timeRange']",GetWeather
What kind of weather will be in  TN   a week from now  ?,How will the weather be in TN after a week?,"['TN || state', 'a week from now || timeRange']",GetWeather
What kind of weather will be in  TN   a week from now  ?,Can you tell me what sort of weather we'll have in Tennessee a week later?,"['TN || state', 'a week from now || timeRange']",GetWeather
What kind of weather will be in  TN   a week from now  ?,Tell me about the expected weather conditions in Tennessee after seven days.,"['TN || state', 'a week from now || timeRange']",GetWeather
What kind of weather will be in  TN   a week from now  ?,Give me an idea of what kind of climate is expected in TN next week.,"['TN || state', 'a week from now || timeRange']",GetWeather
What kind of weather will be in  TN   a week from now  ?,I'm curious about what type of atmospheric conditions we should anticipate for Tennessee after one week.,"['TN || state', 'a week from now || timeRange']",GetWeather
What kind of weather will be in  TN   a week from now  ?,What's the forecast for Tennessee one week from now regarding its climate?,"['TN || state', 'a week from now || timeRange']",GetWeather
What kind of weather will be in  TN   a week from now  ?,Could you let me know how it will feel outside next Monday? ,"['TN || state', 'a week from now || timeRange']",GetWeather
What kind of weather will be in  TN   a week from now  ?,What are we expecting as far as weather goes for TN by this time next weeek?,"['TN || state', 'a week from now || timeRange']",GetWeather
"Will it be  sunny  on  March 1, 2026  in  Forty Fort ?","Is it going to be sunny in Forty Fort on March 1, 2026?","['sunny || condition_description', 'March 1, 2026 || timeRange', 'Forty Fort || city']",GetWeather
"Will it be  sunny  on  March 1, 2026  in  Forty Fort ?","On March 1, 2026, will there be sunshine in Forty Fort?","['sunny || condition_description', 'March 1, 2026 || timeRange', 'Forty Fort || city']",GetWeather
"Will it be  sunny  on  March 1, 2026  in  Forty Fort ?","Can we expect sunny weather in Forty Fort on March 1st, 2026?","['sunny || condition_description', 'March 1, 2026 || timeRange', 'Forty Fort || city']",GetWeather
"Will it be  sunny  on  March 1, 2026  in  Forty Fort ?",Will the weather be clear and sunny in Forty Fort on March first of twenty-six?,"['sunny || condition_description', 'March 1, 2026 || timeRange', 'Forty Fort || city']",GetWeather
"Will it be  sunny  on  March 1, 2026  in  Forty Fort ?",March 1st of twenty-six is it expected to have sunrays over Forty Fort?,"['sunny || condition_description', 'March 1, 2026 || timeRange', 'Forty Fort || city']",GetWeather
"Will it be  sunny  on  March 1, 2026  in  Forty Fort ?",Is there a forecast for sun on March First of twenty-sixth at forty fort?,"['sunny || condition_description', 'March 1, 2026 || timeRange', 'Forty Fort || city']",GetWeather
"Will it be  sunny  on  March 1, 2026  in  Forty Fort ?",What would the weather be like in forty fort during march first show some rays,"['sunny || condition_description', 'March 1, 2026 || timeRange', 'Forty Fort || city']",GetWeather
