utterance,list_of_slots
How's the weather in  Munchique National Natural Park,['Munchique National Natural Park || geographic_poi']
Tell me the weather forecast for  France,['France || country']
Will there be  wind  in  Hornitos   DC ?,"['wind || condition_description', 'Hornitos || city', 'DC || state']"
Is it  warm   here   now ?,"['warm || condition_temperature', 'here || current_location', 'now || timeRange']"
"what is the forecast for  Roulo  for  foggy  conditions on  February the eighteenth, 2018","['Roulo || city', 'foggy || condition_description', 'February the eighteenth, 2018 || timeRange']"
I want to eat in  Wallis and Futuna  and get a  blizzard,"['Wallis and Futuna || country', 'blizzard || condition_description']"
what is the forecast  in 23 hours and seventeen seconds  at this  current spot,"['in 23 hours and seventeen seconds || timeRange', 'current spot || current_location']"
I need a table at a restaurant in  Montserrat,['Montserrat || country']
"What is the weather forecast for  one am.  in  West Athens ,  Benin","['one am. || timeRange', 'West Athens || city', 'Benin || country']"
What will the weather be this  Afternoon  in  Brilliant   MI ?,"['Afternoon || timeRange', 'Brilliant || city', 'MI || state']"
What is the weather  not far  from  Upper Klamath National Wildlife Refuge ?,"['not far || spatial_relation', 'Upper Klamath National Wildlife Refuge || geographic_poi']"
Weather in  Parc national de Nech Sar,['Parc national de Nech Sar || geographic_poi']
What will the weather be in  Battle Lake ?,['Battle Lake || city']
Will it be  temperate  in the  current place ?,"['temperate || condition_temperature', 'current place || current_location']"
What is the weather for  eight o'clock  in  Laos  that is  within walking distance,"[""eight o'clock || timeRange"", 'Laos || country', 'within walking distance || spatial_relation']"
Tell me if it will it be  windy  in  Grizzled Squirrel Wildlife Sanctuary,"['windy || condition_description', 'Grizzled Squirrel Wildlife Sanctuary || geographic_poi']"
Will it be  windy   here  on  Dec. 16th ?,"['windy || condition_description', 'here || current_location', 'Dec. 16th || timeRange']"
What is the weather forecast for  Danvers,['Danvers || city']
"Will it be  freezing  on  Jul. 7, 2038  in  Vananda   Alaska ?","['freezing || condition_temperature', 'Jul. 7, 2038 || timeRange', 'Vananda || city', 'Alaska || state']"
What will the weather be in  Sche-Phoksundo-Nationalpark  on  leif erikson day ?,"['Sche-Phoksundo-Nationalpark || geographic_poi', 'leif erikson day || timeRange']"
Is the weather  chilly  in  Pintura,"['chilly || condition_temperature', 'Pintura || city']"
What's the weather in  Nigeria ?,['Nigeria || country']
What is the  overcast  forecast  within the same area  of  Rio Grande Nature Center State Park  for  fifteen o'clock,"['overcast || condition_description', 'within the same area || spatial_relation', 'Rio Grande Nature Center State Park || geographic_poi', ""fifteen o'clock || timeRange""]"
Is it  hot  in the  current location ?,"['hot || condition_temperature', 'current location || current_location']"
Tell me the weather for  Oct. the 26th  in  Rosewood Heights .,"['Oct. the 26th || timeRange', 'Rosewood Heights || city']"
"What is the  SD  forecast for  oct. 6th, 2037  for  hot  weather at  Belle Vernon","['SD || state', 'oct. 6th, 2037 || timeRange', 'hot || condition_temperature', 'Belle Vernon || city']"
Is it  rainy  in  Greely Center ?,"['rainy || condition_description', 'Greely Center || city']"
"I need the weather in  Hubbardston , will it be  chillier ?","['Hubbardston || city', 'chillier || condition_temperature']"
Will it be  colder  in  Texas ?,"['colder || condition_temperature', 'Texas || state']"
Tell me the weather forecast for  close by  my  current location,"['close by || spatial_relation', 'current location || current_location']"
what is the forecast for  Uganda  at  Yom Ha'atzmaut  for  chilly  weather  close from  ,"['Uganda || country', ""Yom Ha'atzmaut || timeRange"", 'chilly || condition_temperature', 'close from || spatial_relation']"
"Will it be  sunny  on  March 1, 2026  in  Forty Fort ?","['sunny || condition_description', 'March 1, 2026 || timeRange', 'Forty Fort || city']"
I want to book a restaurant  in 40 weeks  in  Iowa .,"['in 40 weeks || timeRange', 'Iowa || state']"
what is the forecast for  NV  for  First Day Of Sukkot,"['NV || state', 'First Day Of Sukkot || timeRange']"
What is the weather forecast for  Agate Fossil Beds National Monument,['Agate Fossil Beds National Monument || geographic_poi']
Tell me if it is  cold  in  Federated States Of Micronesia,"['cold || condition_temperature', 'Federated States Of Micronesia || state']"
I need the weather for  7/13/2036  in  Gwynedd Valley,"['7/13/2036 || timeRange', 'Gwynedd Valley || city']"
Is it  cold   here ?,"['cold || condition_temperature', 'here || current_location']"
Will there be  rain   next year  in  New Hampshire ?,"['rain || condition_description', 'next year || timeRange', 'New Hampshire || state']"
What is the weather at  5 am  on the  Farallon Islands ?,"['5 am || timeRange', 'Farallon Islands || geographic_poi']"
Will it be  windy  at  4 Pm  in  NY ?,"['windy || condition_description', '4 Pm || timeRange', 'NY || state']"
"Tell me the weather forecast for  Roseburg ,  Iowa","['Roseburg || city', 'Iowa || state']"
Weather in  Malaysia,['Malaysia || country']
Need weather for  1 pm  in  Russell Gardens  or  close-by,"['1 pm || timeRange', 'Russell Gardens || city', 'close-by || spatial_relation']"
Will it be  windy  in  John Day ?,"['windy || condition_description', 'John Day || city']"
What's the weather like at  Nationaal park Bạch Mã,['Nationaal park Bạch Mã || geographic_poi']
Will it be  hotter  in  Hungary  on  February the 16th ?,"['hotter || condition_temperature', 'Hungary || country', 'February the 16th || timeRange']"
What will the weather be at  six o'clock  in the  Virgin Islands ?,"[""six o'clock || timeRange"", 'Virgin Islands || state']"
is the weather going to be  hotter  in  RI   in one year,"['hotter || condition_temperature', 'RI || state', 'in one year || timeRange']"
What is the weather in  Weidman  will it be  warm,"['Weidman || city', 'warm || condition_temperature']"
How  cold  will it get in  Tajikistan  around  oct. eleventh ?,"['cold || condition_temperature', 'Tajikistan || country', 'oct. eleventh || timeRange']"
What is the weather forecast  here,['here || current_location']
Will it be  warmer   near   here  on  jan. the fifteenth ?,"['warmer || condition_temperature', 'near || spatial_relation', 'here || current_location', 'jan. the fifteenth || timeRange']"
"Tell me the weather forecast for  eight A.m.  in  Reminderville ,  FL","['eight A.m. || timeRange', 'Reminderville || city', 'FL || state']"
will it be  chilly  at  0 pm  in  Guam,"['chilly || condition_temperature', '0 pm || timeRange', 'Guam || country']"
Is it  chillier   here,"['chillier || condition_temperature', 'here || current_location']"
is it  cold  in  Vigus   TN,"['cold || condition_temperature', 'Vigus || city', 'TN || state']"
need a table  now  somewhere  nearby   Petit Manan National Wildlife Refuge,"['now || timeRange', 'nearby || spatial_relation', 'Petit Manan National Wildlife Refuge || geographic_poi']"
What's the weather in  Ransom Canyon ?,['Ransom Canyon || city']
what is the forecast for  Orienta  for  hotter  weather,"['Orienta || city', 'hotter || condition_temperature']"
"Will it be  hotter   neighboring   ME  on  august eighteenth, 2025 ?","['hotter || condition_temperature', 'neighboring || spatial_relation', 'ME || state', 'august eighteenth, 2025 || timeRange']"
What's the forecast for  Sweden  at  9 a.m.,"['Sweden || country', '9 a.m. || timeRange']"
Will it be  temperate  in  West Liberty   MH ?,"['temperate || condition_temperature', 'West Liberty || city', 'MH || state']"
Will it be  freezing   4 hours from now  in  Tonga,"['freezing || condition_temperature', '4 hours from now || timeRange', 'Tonga || country']"
Will it be  colder  in  Tallgrass Prairie National Preserve ?,"['colder || condition_temperature', 'Tallgrass Prairie National Preserve || geographic_poi']"
"What will the weather be on the  Keeling Islands  on  aug. third, 2037 ?","['Keeling Islands || country', 'aug. third, 2037 || timeRange']"
Will there be a  snowstorm  on  september the first  in  Bechtelsville   Georgia ?,"['snowstorm || condition_description', 'september the first || timeRange', 'Bechtelsville || city', 'Georgia || state']"
Tell me the weather forecast for  Finland,['Finland || country']
Give me the forecast for  San Pedro River Preserve,['San Pedro River Preserve || geographic_poi']
is it  humid  in  Humboldt Bay National Wildlife Refuge,"['humid || condition_description', 'Humboldt Bay National Wildlife Refuge || geographic_poi']"
Tell me if it will  hail  in  Kyrgyzstan,"['hail || condition_description', 'Kyrgyzstan || country']"
Will it be  cold  in  Haiti ?,"['cold || condition_temperature', 'Haiti || country']"
What's the weather in  Humarock ?,['Humarock || city']
Tell me the weather forecast for  Fort Yargo State Park,['Fort Yargo State Park || geographic_poi']
I need the weather in  ND   in three hundred fifty one days  ,"['ND || state', 'in three hundred fifty one days || timeRange']"
Tell me the weather forecast  within the same area  of  Pocomoke River State Park,"['within the same area || spatial_relation', 'Pocomoke River State Park || geographic_poi']"
is it going to be  windy  on  8/8/2032  in  North Charleston   MT,"['windy || condition_description', '8/8/2032 || timeRange', 'North Charleston || city', 'MT || state']"
Will the weather be  freezing  in  Tennessee ?,"['freezing || condition_temperature', 'Tennessee || state']"
humidity  in  Netawaka   WI,"['humidity || condition_description', 'Netawaka || city', 'WI || state']"
What's the weather  this week  in  distant   Bartholomew's Cobble ?,"['this week || timeRange', 'distant || spatial_relation', ""Bartholomew's Cobble || geographic_poi""]"
what is the foreast for  Spain  at  East Glacier Park  at  one pm,"['Spain || country', 'East Glacier Park || city', 'one pm || timeRange']"
is it  cloudy  in  Turkmenistan,"['cloudy || condition_description', 'Turkmenistan || country']"
what is the forecast for  chillier  conditions at  Calipuy National Reservation,"['chillier || condition_temperature', 'Calipuy National Reservation || geographic_poi']"
Will it  rain  in  Blissfield   Namibia   nine hours 1 minute and one second from now ?,"['rain || condition_description', 'Blissfield || city', 'Namibia || country', 'nine hours 1 minute and one second from now || timeRange']"
Is it going to be  colder  in  Bonnie,"['colder || condition_temperature', 'Bonnie || city']"
"What is the weather forecast for  Deaver ,  SC  on  May 10th","['Deaver || city', 'SC || state', 'May 10th || timeRange']"
Want to eat somewhere  cold  in the  neighboring   Antlers  region on  aug. 22,"['cold || condition_temperature', 'neighboring || spatial_relation', 'Antlers || city', 'aug. 22 || timeRange']"
"Is it  colder  in Istanbul, Turkey or  Amarillo ,  Greece ?
","['colder || condition_temperature', 'Amarillo || city', 'Greece || country']"
Will it be  warm  on  Pink Hill ?,"['warm || condition_temperature', 'Pink Hill || city']"
what is the forecast for  Winnabow,['Winnabow || city']
When will there be  wind   this year  in  Racine,"['wind || condition_description', 'this year || timeRange', 'Racine || city']"
Will it be  humid  in  Weippe   DC ?,"['humid || condition_description', 'Weippe || city', 'DC || state']"
I need a table in  Uruguay   in 213 days  when it's  chillier,"['Uruguay || country', 'in 213 days || timeRange', 'chillier || condition_temperature']"
What is the weather forecast for my  current position,['current position || current_location']
Will there be  cloud   a year from now  in  MN ?,"['cloud || condition_description', 'a year from now || timeRange', 'MN || state']"
Will there be  snowfall  at the  current location  at  3 o'clock ?,"['snowfall || condition_description', 'current location || current_location', ""3 o'clock || timeRange""]"
weather in  Holly Recreation Area  at  eight P.m,"['Holly Recreation Area || geographic_poi', 'eight P.m || timeRange']"
What will the weather be  here  at  10:19 ?,"['here || current_location', '10:19 || timeRange']"
What is the weather  now  and  here ?,"['now || timeRange', 'here || current_location']"
Will the weather be  hot  in  Netherlands Antilles ?,"['hot || condition_temperature', 'Netherlands Antilles || country']"
When will  WI  be  temperate ?,"['WI || state', 'temperate || condition_temperature']"
What will the weather be  here ?,['here || current_location']
When will it be  temperate  in  Lansford,"['temperate || condition_temperature', 'Lansford || city']"
What's the weather in  Macedonia,['Macedonia || city']
Weather  in 3 minutes  at  Jean Lafitte National Historical Park and Preserve,"['in 3 minutes || timeRange', 'Jean Lafitte National Historical Park and Preserve || geographic_poi']"
"Will it be  cold  in  East McKeesport   Norfolk Island  on  february the twenty-second, 2038 ?","['cold || condition_temperature', 'East McKeesport || city', 'Norfolk Island || country', 'february the twenty-second, 2038 || timeRange']"
Weather in  Gibraltar  at  meal  time,"['Gibraltar || country', 'meal || timeRange']"
Tell me if it will be  foggy  in  Maxwell,"['foggy || condition_description', 'Maxwell || city']"
What is the forecast for  in one minute   here,"['in one minute || timeRange', 'here || current_location']"
Weather conditions in  East Pasadena,['East Pasadena || city']
"Will the weather be  colder  on  jul. 21st, 2020  in  HI  in  Gost Creek","['colder || condition_temperature', 'jul. 21st, 2020 || timeRange', 'HI || state', 'Gost Creek || city']"
"Weather in  Grey Eagle  on  Feb. fifteenth, 2034","['Grey Eagle || city', 'Feb. fifteenth, 2034 || timeRange']"
what is the weather in  Cotton Valley,['Cotton Valley || city']
What is the weather forecast for  Cistern,['Cistern || city']
How's the weather in  Nebraska,['Nebraska || state']
what is the forecast in  Mankins  for  seven p.m  for  snow  in  New Caledonia,"['Mankins || city', 'seven p.m || timeRange', 'snow || condition_description', 'New Caledonia || country']"
Will it be  foggy  in  Dunedin   ND ?,"['foggy || condition_description', 'Dunedin || city', 'ND || state']"
Will it be  chillier  in  Elko   WI  at  07:51 p.m. ?,"['chillier || condition_temperature', 'Elko || city', 'WI || state', '07:51 p.m. || timeRange']"
what is the forecast starting at  six pm  at  Janes Island State Park,"['six pm || timeRange', 'Janes Island State Park || geographic_poi']"
"Tell me if it will be  humid  in  West Lafayette ,  OK","['humid || condition_description', 'West Lafayette || city', 'OK || state']"
What's the weather in  Poland ?,['Poland || country']
What is the  humidity  at my  current position,"['humidity || condition_description', 'current position || current_location']"
Will it be  colder  in the  Apache-Sitgreaves National Forest  at  6 Pm  .,"['colder || condition_temperature', 'Apache-Sitgreaves National Forest || geographic_poi', '6 Pm || timeRange']"
What kind of weather will be in  VA   12 years from now ?,"['VA || state', '12 years from now || timeRange']"
Need weather  close-by  where I am in state of  MS,"['close-by || spatial_relation', 'MS || state']"
"What will the weather be in  East Tawakoni  on  november twenty-fourth, 2031 ?","['East Tawakoni || city', 'november twenty-fourth, 2031 || timeRange']"
Will it be  hot  at  four  in  Louisiana ?,"['hot || condition_temperature', 'four || timeRange', 'Louisiana || state']"
Will it be  hot  in  Lake Buena Vista   Brunei ?,"['hot || condition_temperature', 'Lake Buena Vista || city', 'Brunei || country']"
Will it be  warmer  in  MT ?,"['warmer || condition_temperature', 'MT || state']"
Will it be  cold  in  Maryland  on  april 21 ?,"['cold || condition_temperature', 'Maryland || state', 'april 21 || timeRange']"
What is the weather forecast  near   United Kingdom,"['near || spatial_relation', 'United Kingdom || country']"
Is it  chilly  in  Haiti,"['chilly || condition_temperature', 'Haiti || country']"
give me the forecast for  next Tues.  for  Ree Heights,"['next Tues. || timeRange', 'Ree Heights || city']"
weather on  september 14  in  Crofton   Ukraine,"['september 14 || timeRange', 'Crofton || city', 'Ukraine || country']"
Will the weather be  foggy  in  ND  when I go to  Dunedin,"['foggy || condition_description', 'ND || state', 'Dunedin || city']"
