utterance,paraphrase,list_of_slots,intent
Book a reservation for  seven  people at a  bakery  in  Osage City,"Book a reservation for seven people at a bakery in Osage City, India. I have not yet been able to see the photos for the entire month.","['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Can I book a reservation for 7 people at a bakery in Osage City?,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for 7 people at a bakery in Osage City with a food service for 6 people for 7 people in a 4 days from Friday to Friday.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City. Osage City: What are the advantages of booking in Osage City?,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City. No charges.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for 7 people at a bakery in Osage City. The bakery is open from 11am-8pm on Saturday and runs till midnight.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,"Book a reservation for seven people at a bakery in Osage City, Kerala. In a good amount of time.","['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for seven people at a bakery in Osage City. Which one is best?,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book a reservation for  seven  people at a  bakery  in  Osage City,Book a reservation for 7 people at a bakery in Osage City.,"['seven || party_size_number', 'bakery || restaurant_type', 'Osage City || city']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for two at Maid-Rite Sandwich Shop in Antigua and Barbuda. Checks are now on sale inside.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,"Book spot for three at Maid-Rite sandwich shop in Antigua and Barbuda, Jamaica.","['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,"Book spot for three at MaidRite Sandwich Shop in Antigua and Barbuda, Nicaragua.","['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,"Book spot for three at Maid-Rite Sandwich Shop, Antigua and Barbuda. They serve only 15 sandwiches. Call it good food!","['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,"Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda, Jamaica.","['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for 3 at Maid-Rite Sandwich Shop in Antigua and Barbuda/Mexico?,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,"Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda, Guyana.","['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda. All sandwiches are offered.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda (DJ)?,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
Book spot for  three  at  Maid-Rite Sandwich Shop  in  Antigua and Barbuda,Book spot for three at Maid-Rite Sandwich Shop in Antigua and Barbuda.,"['three || party_size_number', 'Maid-Rite Sandwich Shop || restaurant_name', 'Antigua and Barbuda || country']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table to sit at the pizzeria for breakfast in MI. I have no idea what time oblivion is making it there.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria. They serve lunch and dinner.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table for breakfast in MI at the pizzeria. This is your last opportunity?,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,I need a table to get breakfast in Detroit at pizzeria. I've been there a couple of times.,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,Are there any good tables for breakfast in MI at a pizzeria?,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,What is the best place in MI to buy pizza and a table for breakfast?,"['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
I need a table for  breakfast  in  MI  at the  pizzeria,"I need a table for breakfast at an pizzeria in MI, and I should get a table nearby.","['breakfast || timeRange', 'MI || state', 'pizzeria || restaurant_type']",BookRestaurant
