utterance,paraphrase,list_of_slots,error_category,,
How's the weather in  Munchique National Natural Park,How's the weather at Munchique National Park?,['Munchique National Natural Park || geographic_poi'],Correct,,
How's the weather in  Munchique National Natural Park,How's the weather at Munchique National Park?,['Munchique National Natural Park || geographic_poi'],Correct,,
How's the weather in  Munchique National Natural Park,How's the weather at Munchique National Park?,['Munchique National Natural Park || geographic_poi'],Correct,,
How's the weather in  Munchique National Natural Park,How are the weather conditions at Munchique National Park?,['Munchique National Natural Park || geographic_poi'],grammar,,
How's the weather in  Munchique National Natural Park,How's the weather in Munchique National Park?,['Munchique National Natural Park || geographic_poi'],correct,,
How's the weather in  Munchique National Natural Park,How is the weather in Munchique National Park?,['Munchique National Natural Park || geographic_poi'],correct,,
How's the weather in  Munchique National Natural Park,How is the weather in Munchique National Park?,['Munchique National Natural Park || geographic_poi'],correct,,
How's the weather in  Munchique National Natural Park,What's the weather in Munchique National Park?,['Munchique National Natural Park || geographic_poi'],correct,,
How's the weather in  Munchique National Natural Park,What is the weather like in Munchique National Park?,['Munchique National Natural Park || geographic_poi'],correct,,
How's the weather in  Munchique National Natural Park,"What are the weather conditions in Munchique National Park, Canada?",['Munchique National Natural Park || geographic_poi'],slot Addition,,
"Tell me the weather forecast for  Roseburg ,  Iowa","If this is the weather for Roseburg, Iowa, what are the forecasts?","['Roseburg || city', 'Iowa || state']",correct,,
"Tell me the weather forecast for  Roseburg ,  Iowa","What's the forecast for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",Correct,,
"Tell me the weather forecast for  Roseburg ,  Iowa","How is the weather in Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",Correct,,
"Tell me the weather forecast for  Roseburg ,  Iowa",What's the weather forecast for Roseburg in Iowa?,"['Roseburg || city', 'Iowa || state']",correct,,
"Tell me the weather forecast for  Roseburg ,  Iowa",What is the weather at Roseburg in Iowa.,"['Roseburg || city', 'Iowa || state']",correct,,
"Tell me the weather forecast for  Roseburg ,  Iowa","What is the weather in Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",correct,,
"Tell me the weather forecast for  Roseburg ,  Iowa","What is the weather forecast for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",correct,,
"Tell me the weather forecast for  Roseburg ,  Iowa","How do I get the weather forecast for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",Semantic,,
"Tell me the weather forecast for  Roseburg ,  Iowa","What are the weather forecasts for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",correct,,
"Tell me the weather forecast for  Roseburg ,  Iowa","How is the weather forecast for Roseburg, Iowa?","['Roseburg || city', 'Iowa || state']",correct,,
Weather in  Malaysia,Which is the best weather forecast in Malaysia in July 2016.,['Malaysia || country'],"Semantic, Wordy, Slot Addition",,
Weather in  Malaysia,Weather in Malaysia?,['Malaysia || country'],duplication,,
Weather in  Malaysia,Weather in Malaysia?,['Malaysia || country'],duplication,,
Weather in  Malaysia,"Weather in Malaysia during April-Sep., at 23:00 GMT+8.30 GMT+1.30 GMT.",['Malaysia || country'],Slot Addition,,
Weather in  Malaysia,Weather in Malaysia: forecasts and predictions.,['Malaysia || country'],correct,,
